raman_shift	intensity
471.21622	202
472.27756	203
473.33878	203
474.4025	204
475.4635	204
476.5231	207
477.58389	205
478.64456	207
479.70514	208
480.76819	209
481.82855	205
482.88879	207
483.94894	207
485.00894	206
486.06888	207
487.13129	208
488.19098	209
489.25058	207
490.31006	210
491.36942	206
492.42868	207
493.48785	207
494.54688	210
495.60583	208
496.66464	206
497.72339	207
498.78198	206
499.84048	206
500.8989	209
501.95718	212
503.01535	213
504.07343	211
505.13138	212
506.18924	213
507.24698	211
508.30331	213
509.36084	217
510.41824	217
511.47556	219
512.53278	224
513.58984	233
514.64685	238
515.70374	250
516.7605	281
517.81714	335
518.87372	452
519.92755	591
520.98389	635
522.0401	520
523.09625	388
524.15222	302
525.20813	257
526.26135	242
527.31702	233
528.37262	230
529.4281	220
530.48346	217
531.5387	218
532.59125	216
533.6463	211
534.70123	215
535.75604	212
536.80817	210
537.86279	209
538.9173	211
539.97168	211
541.02338	210
542.07758	207
543.13159	206
544.18298	209
545.23682	209
546.29059	208
547.34296	207
548.39648	205
549.44989	208
550.50061	207
551.55383	207
552.60693	204
553.65729	203
554.71021	204
555.76038	203
556.81305	203
557.8656	203
558.91547	203
559.96783	205
561.01746	203
562.06958	204
563.11902	203
564.17096	204
565.22021	204
566.27191	204
567.32349	202
568.37238	204
569.42377	206
570.47247	204
571.52106	205
572.57208	204
573.62048	205
574.67133	205
575.72076	204
576.77136	207
577.81934	203
578.86975	205
579.91748	206
580.96509	205
582.01514	206
583.06256	205
584.11243	205
585.15961	204
586.20673	201
587.25629	204
588.30316	202
589.34991	203
590.39917	203
591.44568	202
592.49341	204
593.54236	203
594.58856	204
595.6347	205
596.68329	202
597.72919	203
598.77502	203
599.82074	203
600.8689	204
601.91437	201
602.95972	202
604.005	203
605.05273	202
606.09784	203
607.14404	200
608.1889	202
609.23364	201
610.28082	203
611.32538	205
612.36981	200
613.41412	205
614.45831	204
615.50244	203
616.54901	202
617.5929	204
618.63794	201
619.68164	205
620.72522	205
621.76868	203
622.81201	202
623.85529	204
624.89844	203
625.94147	205
626.98438	205
628.02979	203
629.07379	205
630.11639	203
631.15894	204
632.20135	204
633.24365	206
634.28583	205
635.32788	206
636.36987	205
637.41174	202
638.45483	204
639.4939	204
640.53546	203
641.5769	204
642.61829	201
643.65948	203
644.70062	204
645.74292	204
646.78387	202
647.82471	207
648.86542	204
649.90601	201
650.94391	203
651.98431	202
653.0246	205
654.0661	204
655.10614	205
656.14612	203
657.18341	207
658.22321	205
659.26288	204
660.30243	203
661.34186	203
662.37988	202
663.41913	203
664.45825	206
665.49731	205
666.53363	205
667.57245	207
668.61243	203
669.65106	206
670.68695	205
671.72534	204
672.76367	205
673.79926	204
674.83862	203
675.87659	204
676.91193	204
677.94965	206
678.9873	206
680.02234	205
681.05975	206
682.09839	204
683.13306	204
684.17017	204
685.20465	204
686.24158	204
687.27838	207
688.31378	204
689.3504	206
690.38434	205
691.42078	209
692.45447	209
693.49194	207
694.52545	210
695.56146	207
696.59479	208
697.63049	207
698.66364	210
699.70044	210
700.73334	207
701.76868	211
702.80139	211
703.83655	207
704.8703	210
705.90521	208
706.9375	210
707.96967	207
709.00427	207
710.03748	213
711.0719	210
712.10364	208
713.13531	209
714.16937	207
715.20209	206
716.23596	206
717.26721	205
718.29834	205
719.33191	203
720.36407	205
721.3949	203
722.4256	204
723.45874	202
724.48926	207
725.52094	204
726.55371	204
727.58392	206
728.61401	203
729.64398	204
730.67767	203
731.70746	206
732.73712	205
733.76666	203
734.79742	205
735.82928	203
736.85858	201
737.8877	201
738.91675	205
739.94696	206
740.97577	204
742.00708	204
743.03571	203
744.06549	204
745.09393	201
746.12219	202
747.15045	204
748.17981	203
749.20782	203
750.23828	203
751.26605	202
752.29376	203
753.32263	204
754.3501	202
755.3775	204
756.40479	200
757.43323	203
758.46027	203
759.48724	205
