wavelength	intensity
643.06531	12150
643.39734	11863
643.72937	11653
644.06146	11469
644.39349	11077
644.72559	10819
645.05756	10691
645.38965	10397
645.72168	10128
646.05377	9831
646.3858	9660
646.7179	9457
647.04987	9201
647.38196	8979
647.71399	8764
648.04608	8560
648.37817	8308
648.71014	8057
649.04224	7850
649.37427	7639
649.70636	7440
650.03845	7262
650.37042	7110
650.70251	6881
651.03461	6739
651.36664	6546
651.69873	6391
652.03076	6250
652.36285	6085
652.69489	5960
653.02698	5800
653.35907	5609
653.6911	5550
654.02313	5428
654.35522	5245
654.68732	5152
655.01941	5044
655.35144	4927
655.68353	4829
656.01556	4721
656.34766	4623
656.67975	4499
657.01178	4444
657.34387	4313
657.67596	4262
658.00806	4143
658.34015	4049
658.67218	3962
659.00427	3918
659.33636	3808
659.66846	3724
660.00055	3659
660.33258	3596
660.66467	3496
660.99677	3461
661.32886	3383
661.66095	3269
661.99298	3225
662.32507	3118
662.65717	3103
662.98926	3019
663.32129	2973
663.65338	2947
663.98547	2860
664.31757	2828
664.64972	2749
664.98175	2702
665.31384	2654
665.64594	2621
665.97803	2589
666.31006	2550
666.64221	2507
666.9743	2454
667.3064	2415
667.63849	2379
667.97058	2338
668.30267	2280
668.63477	2274
668.96686	2234
669.29895	2185
669.63104	2181
669.96313	2100
670.29529	2092
670.62732	2073
670.95941	2021
671.29156	1982
671.62366	1949
671.95569	1964
672.28784	1886
672.61993	1871
672.95209	1823
673.28412	1791
673.61621	1769
673.94836	1756
674.28046	1704
674.61255	1686
674.94464	1672
675.27679	1667
675.60889	1620
675.94104	1587
676.27307	1526
676.60522	1498
676.93732	1517
677.26947	1504
677.6015	1463
677.93365	1435
678.26581	1424
678.5979	1397
678.92999	1361
679.26208	1368
679.59424	1348
679.92633	1338
680.25842	1317
680.59058	1315
680.92267	1285
681.25476	1265
681.58691	1309
681.91901	1236
682.25116	1220
682.58325	1192
682.91541	1193
683.2475	1185
683.57965	1158
683.91174	1166
684.2439	1153
684.57599	1157
684.90814	1149
685.24023	1142
685.57239	1126
685.90448	1108
686.23663	1108
686.56873	1084
686.90088	1083
687.23303	1083
687.56512	1058
687.89722	1059
688.22937	1048
688.56152	1029
688.89362	1044
689.22577	1011
689.55792	1001
689.89001	1007
690.22217	989
690.55432	999
690.88647	974
691.21857	985
691.55072	954
691.88287	946
692.21503	931
692.54706	937
692.87927	945
693.21143	919
693.54352	923
693.87567	895
694.20782	889
694.53998	885
694.87207	885
695.20422	867
695.53638	862
695.86847	859
696.20062	870
696.53278	847
696.86493	854
697.19702	822
697.52924	844
697.86139	835
698.19348	834
698.52563	823
698.85779	798
699.18994	805
699.52209	806
699.85425	803
700.1864	801
700.51849	783
700.85065	780
701.18286	788
701.51495	768
701.84711	769
702.17926	755
702.51141	756
702.84357	741
703.17572	734
703.50793	721
703.84003	714
704.17218	711
704.50439	713
704.83649	692
705.16864	699
705.50085	688
705.83295	677
706.1651	665
706.49731	669
706.82947	662
707.16156	642
707.49377	649
707.82593	650
708.15808	628
708.49023	628
708.82245	623
709.15454	624
709.48676	616
709.81891	616
710.151	589
710.48322	604
710.81537	607
711.14752	615
711.47968	584
711.81189	595
712.14404	597
712.4762	596
712.80841	574
713.14056	571
713.47272	572
713.80487	563
714.13708	556
714.46918	578
714.80139	554
715.13361	556
715.4657	559
715.79791	547
716.13013	541
716.46222	544
716.79443	538
717.12665	539
717.45874	550
717.79095	543
718.12317	543
718.45526	535
718.78748	523
719.11969	515
719.45178	532
719.784	521
720.11621	517
720.44836	509
720.78052	525
721.11273	502
721.44489	516
721.7771	519
722.10925	511
722.44141	499
722.77362	490
723.10583	490
723.43799	492
723.77014	501
724.10236	491
724.43451	489
724.76672	498
725.09894	481
725.43109	485
725.76331	469
726.09546	466
726.42761	470
726.75983	467
727.09204	470
727.42419	455
727.75641	470
728.08862	454
728.42078	463
728.75299	454
729.08514	457
729.41736	458
729.74957	444
730.08173	441
730.41394	448
730.74615	448
731.07831	438
731.41052	442
731.74274	440
732.07489	443
732.4071	448
732.73932	439
733.07147	430
733.40369	435
733.7359	419
734.06805	422
734.40027	429
734.73248	427
735.06464	426
735.39685	413
735.729	412
736.06128	421
736.39349	427
736.72565	417
737.05786	421
737.39008	416
737.72223	419
738.05444	417
738.38672	412
738.71887	392
739.05109	402
739.38324	404
739.71545	392
740.04773	386
740.37988	391
740.7121	394
741.04431	384
741.37653	380
741.70874	380
742.04095	378
742.37311	370
742.70538	367
743.03754	373
743.36975	368
743.70197	362
744.03418	351
744.36639	356
744.69861	352
745.03082	345
745.36304	351
745.69519	349
746.02747	351
746.35968	355
746.69183	351
747.02411	344
747.35632	345
747.68848	338
748.02075	343
748.35291	336
748.68518	337
749.0174	336
749.34955	343
749.68182	331
750.01404	333
750.34625	336
750.67847	335
751.01068	335
751.3429	334
751.67511	327
752.00732	326
752.33954	331
752.67175	330
753.00397	317
753.33624	322
753.6684	313
754.00067	313
754.33289	315
754.6651	311
754.99731	315
755.32953	310
755.6618	311
755.99402	312
756.32623	312
756.65845	312
756.99066	310
757.32288	309
757.65515	311
757.98737	306
758.31958	309
758.65179	308
758.98401	303
759.31628	295
759.6485	295
759.98071	297
760.31293	302
760.64514	299
760.97742	299
761.30963	305
761.64185	307
761.97412	296
762.30634	302
762.63855	300
762.97076	303
763.30304	295
763.63531	301
763.96747	294
764.29974	291
764.63196	293
764.96417	289
765.29645	286
765.62866	294
765.96094	286
766.29309	295
766.62537	293
766.95764	291
767.28986	289
767.62207	288
767.95428	299
768.28656	301
768.61877	293
768.95105	293
769.28326	292
769.61548	289
769.94775	294
770.27997	289
770.61224	295
770.94452	293
771.27667	298
771.60895	305
771.94116	308
772.27344	298
772.60571	287
772.93793	297
773.2702	296
773.60236	289
773.93463	284
774.26691	293
774.59912	292
774.9314	284
775.26361	282
775.59589	279
775.9281	282
776.26038	276
776.59265	279
776.92487	274
777.25714	275
777.58936	272
777.92163	265
778.25385	261
778.58606	262
778.91833	265
779.25055	262
779.58282	262
779.91504	263
780.24731	258
780.57959	263
780.9118	258
781.24408	256
781.57629	256
781.90863	257
782.24084	257
782.57312	254
782.9054	257
783.23761	256
783.56989	254
783.9021	251
784.23438	258
784.56665	255
784.89886	250
785.23114	251
785.56335	240
785.89563	252
786.22784	249
786.56018	250
786.89246	256
787.22467	257
787.55695	255
787.88916	248
788.22144	253
788.55365	250
788.88593	254
789.21826	253
789.55048	250
789.88275	248
790.21497	253
790.54724	253
790.87946	254
791.21179	251
791.54407	248
791.87628	250
792.20856	251
792.54077	248
792.87311	245
793.20532	239
793.5376	240
793.86987	246
794.20209	242
794.53442	242
794.86664	238
795.19891	242
795.53113	239
795.86346	238
796.19568	235
796.52795	236
796.86029	239
797.1925	234
797.52478	235
797.85699	235
798.18933	236
798.52155	233
798.85382	230
799.1861	233
799.51837	231
799.85065	231
800.18286	236
800.5152	238
800.84741	231
801.17969	234
801.51196	233
801.84424	235
802.17651	225
802.50879	232
802.84106	231
803.17334	230
803.50562	228
803.83783	228
804.17017	231
804.50238	228
804.83466	228
805.16699	229
805.49921	231
805.83154	226
806.16376	229
806.49603	228
806.82831	225
807.16058	228
807.49286	231
807.82513	229
808.15741	230
808.48969	225
808.82196	223
809.15424	226
809.48651	226
809.81879	227
810.15106	220
810.48334	222
810.81561	224
811.14789	227
811.48016	224
811.8125	221
812.14471	223
812.47705	222
812.80927	223
813.14154	225
813.47382	222
813.80609	226
814.13837	219
814.4707	217
814.80292	215
815.13525	210
815.46753	208
815.7998	209
816.13208	207
816.46436	206
816.79663	205
817.12891	206
817.46118	205
817.79346	203
818.12573	200
818.45801	203
818.79034	202
819.12262	202
819.4549	200
819.78717	201
820.11945	202
820.45172	200
820.784	200
821.11633	199
821.44855	198
821.78088	201
822.1131	198
822.44543	196
822.77771	198
823.10999	198
823.44232	199
823.7746	198
824.10687	199
824.43915	197
824.77142	199
825.1037	197
825.43604	199
825.76825	198
826.10059	200
826.43286	197
826.76514	199
827.09741	198
827.42975	201
827.76202	198
828.0943	197
828.42664	197
828.75885	199
829.09119	200
829.42346	199
829.75574	198
830.08801	200
830.42035	199
830.75256	199
831.0849	199
831.41718	199
831.74951	197
832.08173	199
832.41406	198
832.74634	200
833.07861	198
833.41095	199
833.74323	197
834.07556	199
834.40778	196
834.74011	200
835.07239	197
835.40472	196
835.73694	201
